Heit(km)	Oden(m-3)	O2den(m-3)	Nden(m-3)	N2den(m-3)	Air(m-3)	T(eV)	Q_O(s-1)	Q_O2(s-1)	Q_N(s-1)	Q_N2(s-1)
470.0	30650000000000.0	11790000000.0	230500000000.0	960600000000.0	8.848e-13	0.08584462500000001	2.3444499738370534e+17	90182920690175.73	1763118169557718.8	7347728041983274.0
480.0	26010000000000.0	8489000000.0	199600000000.0	720500000000.0	7.486e-13	0.08585325	1.9880788658738634e+17	64885818886594.484	1525646065468754.8	5507154259369929.0
490.0	22080000000000.0	6117000000.0	172900000000.0	540900000000.0	6.344e-13	0.08585325	1.6864580911764336e+17	46721304998760.17	1320600561432995.5	4131364046727051.5
500.0	18750000000000.0	4412000000.0	149900000000.0	406400000000.0	5.384e-13	0.08585325	1.4310718720793755e+17	33674075197942.426	1144094259331724.8	3101800580336310.5
510.0	15930000000000.0	3185000000.0	130000000000.0	305600000000.0	4.577000000000001e-13	0.08585325	1.2149547375290102e+17	24291467916069.664	991488486370190.4	2330760626421001.5
520.0	13540000000000.0	2302000000.0	112800000000.0	230000000000.0	3.8960000000000003e-13	0.085861875	1.0319237204738696e+17	17544227507613.352	859682390468629.9	1752898491203766.5
530.0	11520000000000.0	1665000000.0	97860000000.0	173200000000.0	3.322e-13	0.085861875	8.773370617955222e+16	12680262221263.408	745279556139842.1	1319051901935629.0
540.0	9801000000000.0	1206000000.0	84970000000.0	130600000000.0	2.837e-13	0.085861875	7.458816238647408e+16	9177974067757.143	646643827974564.1	993900010985972.4
550.0	8343000000000.0	873700000.0	73810000000.0	98530000000.0	2.426e-13	0.085861875	6.344651009342186e+16	6644278541127.014	561307312716704.7	749296972252769.5
560.0	7106000000000.0	633800000.0	64130000000.0	74400000000.0	2.0779999999999998e-13	0.085861875	5.4000418799081464e+16	4816417877126.067	487341240864775.44	565385752695139.5
570.0	6055000000000.0	460200000.0	55750000000.0	56230000000.0	1.783e-13	0.085861875	4.598042216664043e+16	3494663960543.01	423354010865434.2	426999031945531.2
580.0	5162000000000.0	334400000.0	48490000000.0	42520000000.0	1.533e-13	0.085861875	3.9170953209832744e+16	2537537147107.3364	367958062988142.2	322655740116638.56
590.0	4402000000000.0	243200000.0	42180000000.0	32190000000.0	1.32e-13	0.085861875	3.3379817704714924e+16	1844155307993.3372	319845686230094.4	244092760544019.4
600.0	3756000000000.0	177100000.0	36710000000.0	24380000000.0	1.139e-13	0.085861875	2.846084149987344e+16	1341963532914.6929	278167596235451.0	184737836998646.03
610.0	3207000000000.0	129100000.0	31970000000.0	18490000000.0	9.843e-14	0.085861875	2.4283416611360864e+16	977545707679.042	242076965720363.84	140006352710964.27
620.0	2739000000000.0	94130000.0	27850000000.0	14030000000.0	8.526000000000001e-14	0.085861875	2.0724878183192164e+16	712242710253.3328	210729411245674.25	106159197119454.56
630.0	2340000000000.0	68720000.0	24260000000.0	10650000000.0	7.401e-14	0.085861875	1.7693158968531152e+16	519604224067.2909	183434203665199.03	80526556843955.88
640.0	2000000000000.0	50220000.0	21150000000.0	8094000000.0	6.438999999999999e-14	0.085861875	1.511156796788247e+16	379451471673.5289	159804831260357.12	61156515566020.36
650.0	1711000000000.0	36730000.0	18450000000.0	6155000000.0	5.615e-14	0.085861875	1.2918735175976344e+16	277326208657.86743	139304888367483.08	46472714791428.64
